id,realDonaldTrump,HillaryClinton
128,0.290726,0.709274
129,0.124702,0.875298
130,0.123465,0.876535
131,0.894962,0.105038
132,0.275268,0.724732
133,0.016004,0.983996
134,0.732974,0.267026
135,0.309846,0.690154
136,0.485877,0.514123
137,0.968318,0.031682
138,0.785383,0.214617
139,0.773007,0.226993
140,0.092591,0.907409
141,0.194015,0.805985
142,0.118370,0.881630
143,0.403284,0.596716
144,0.856900,0.143100
145,0.531208,0.468792
146,0.415443,0.584557
147,0.769699,0.230301
148,0.573342,0.426658
149,0.194816,0.805184
150,0.193607,0.806393
151,0.359643,0.640357
152,0.716441,0.283559
153,0.415548,0.584452
154,0.640629,0.359371
155,0.958925,0.041075
156,0.604109,0.395891
157,0.447574,0.552426
158,0.218718,0.781282
159,0.231805,0.768195
160,0.170668,0.829332
161,0.390805,0.609195
162,0.289476,0.710524
163,0.948365,0.051635
164,0.296805,0.703195
165,0.113791,0.886209
166,0.737270,0.262730
167,0.620883,0.379117
168,0.473036,0.526964
169,0.604277,0.395723
170,0.390733,0.609267
171,0.115375,0.884625
172,0.789481,0.210519
173,0.990535,0.009465
174,0.497905,0.502095
175,0.492302,0.507698
176,0.771022,0.228978
177,0.386321,0.613679
178,0.479283,0.520717
179,0.513307,0.486693
180,0.750209,0.249791
181,0.245257,0.754743
182,0.382631,0.617369
183,0.740795,0.259205
184,0.359062,0.640938
185,0.328135,0.671865
186,0.620523,0.379477
187,0.359834,0.640166
188,0.373229,0.626771
189,0.913831,0.086169
190,0.311286,0.688714
191,0.169578,0.830422
192,0.006789,0.993211
193,0.718349,0.281651
194,0.530744,0.469256
195,0.051514,0.948486
196,0.684750,0.315250
197,0.313683,0.686317
198,0.389704,0.610296
199,0.700133,0.299867
200,0.591366,0.408634
201,0.496208,0.503792
202,0.427319,0.572681
203,0.456250,0.543750
204,0.175306,0.824694
205,0.978163,0.021837
206,0.183383,0.816617
207,0.035908,0.964092
208,0.590460,0.409540
209,0.239178,0.760822
210,0.834263,0.165737
211,0.553242,0.446758
212,0.390827,0.609173
213,0.122814,0.877186
214,0.778574,0.221426
215,0.488084,0.511916
216,0.107450,0.892550
217,0.204883,0.795117
218,0.238501,0.761499
219,0.383411,0.616589
220,0.609030,0.390970
221,0.404696,0.595304
222,0.261061,0.738939
223,0.798929,0.201071
224,0.275365,0.724635
225,0.624457,0.375543
226,0.235953,0.764047
227,0.798508,0.201492
228,0.190447,0.809553
229,0.349540,0.650460
230,0.145995,0.854005
231,0.967202,0.032798
232,0.372750,0.627250
233,0.816748,0.183252
234,0.079401,0.920599
235,0.656161,0.343839
236,0.886237,0.113763
237,0.279602,0.720398
238,0.546851,0.453149
239,0.127960,0.872040
240,0.405933,0.594067
241,0.398683,0.601317
242,0.164793,0.835207
243,0.716196,0.283804
244,0.367224,0.632776
245,0.370896,0.629104
246,0.175254,0.824746
247,0.685485,0.314515
248,0.897918,0.102082
249,0.212073,0.787927
250,0.288786,0.711214
251,0.651997,0.348003
252,0.743430,0.256570
253,0.745111,0.254889
254,0.391547,0.608453
255,0.750652,0.249348
256,0.684127,0.315873
257,0.656149,0.343851
258,0.511148,0.488852
259,0.000053,0.999947
260,0.867951,0.132049
261,0.806925,0.193075
262,0.705918,0.294082
263,0.612710,0.387290
264,0.852979,0.147021
265,0.117715,0.882285
266,0.445246,0.554754
267,0.819566,0.180434
268,0.573135,0.426865
269,0.471737,0.528263
270,0.406491,0.593509
271,0.600623,0.399377
272,0.691417,0.308583
273,0.096737,0.903263
274,0.105246,0.894754
275,0.794211,0.205789
276,0.106781,0.893219
277,0.233897,0.766103
278,0.949727,0.050273
279,0.160841,0.839159
280,0.935199,0.064801
281,0.458784,0.541216
282,0.035462,0.964538
283,0.761600,0.238400
284,0.740773,0.259227
285,0.524755,0.475245
286,0.560905,0.439095
287,0.521539,0.478461
288,0.636693,0.363307
289,0.066838,0.933162
290,0.519476,0.480524
291,0.535601,0.464399
292,0.222410,0.777590
293,0.569033,0.430967
294,0.127860,0.872140
295,0.191125,0.808875
296,0.302138,0.697862
297,0.231676,0.768324
298,0.608493,0.391507
299,0.231729,0.768271
300,0.825613,0.174387
301,0.135426,0.864574
302,0.622495,0.377505
303,0.254589,0.745411
304,0.260064,0.739936
305,0.478443,0.521557
306,0.797511,0.202489
307,0.963317,0.036683
308,0.451923,0.548077
309,0.021173,0.978827
310,0.966353,0.033647
311,0.134085,0.865915
312,0.118096,0.881904
313,0.069929,0.930071
314,0.943670,0.056330
315,0.985412,0.014588
316,0.357473,0.642527
317,0.306758,0.693242
318,0.377500,0.622500
319,0.352665,0.647335
320,0.344920,0.655080
321,0.588892,0.411108
322,0.279484,0.720516
323,0.789526,0.210474
324,0.160528,0.839472
325,0.271709,0.728291
326,0.503715,0.496285
327,0.816105,0.183895
328,0.091354,0.908646
329,0.183190,0.816810
330,0.717497,0.282503
331,0.532146,0.467854
332,0.888477,0.111523
333,0.906895,0.093105
334,0.725011,0.274989
335,0.482221,0.517779
336,0.631278,0.368722
337,0.488167,0.511833
338,0.122928,0.877072
339,0.323935,0.676065
340,0.701395,0.298605
341,0.075153,0.924847
342,0.595636,0.404364
343,0.127722,0.872278
344,0.008063,0.991937
345,0.634137,0.365863
346,0.787087,0.212913
347,0.492463,0.507537
348,0.637093,0.362907
349,0.087127,0.912873
350,0.844309,0.155691
351,0.850923,0.149077
352,0.302357,0.697643
353,0.948033,0.051967
354,0.973510,0.026490
355,0.927046,0.072954
356,0.860483,0.139517
357,0.577242,0.422758
358,0.621348,0.378652
359,0.318410,0.681590
360,0.103386,0.896614
361,0.553640,0.446360
362,0.636535,0.363465
363,0.304892,0.695108
364,0.523173,0.476827
365,0.537325,0.462675
366,0.641511,0.358489
367,0.969754,0.030246
368,0.601844,0.398156
369,0.371887,0.628113
370,0.067592,0.932408
371,0.760052,0.239948
372,0.712461,0.287539
373,0.115439,0.884561
374,0.141996,0.858004
375,0.426054,0.573946
376,0.134480,0.865520
377,0.378304,0.621696
378,0.174554,0.825446
379,0.066923,0.933077
380,0.950001,0.049999
381,0.459695,0.540305
382,0.804046,0.195954
383,0.132212,0.867788
384,0.319146,0.680854
385,0.188124,0.811876
386,0.159305,0.840695
387,0.337531,0.662469
388,0.948420,0.051580
389,0.754868,0.245132
390,0.453155,0.546845
391,0.639671,0.360329
392,0.102257,0.897743
393,0.907432,0.092568
394,0.284156,0.715844
395,0.870033,0.129967
396,0.809225,0.190775
397,0.382349,0.617651
398,0.560064,0.439936
399,0.110014,0.889986
400,0.312903,0.687097
401,0.330644,0.669356
402,0.157589,0.842411
403,0.635347,0.364653
404,0.290849,0.709151
405,0.684433,0.315567
406,0.926250,0.073750
407,0.359572,0.640428
408,0.604606,0.395394
409,0.351960,0.648040
410,0.353966,0.646034
411,0.425699,0.574301
412,0.222162,0.777838
413,0.454210,0.545790
414,0.415507,0.584493
415,0.653626,0.346374
416,0.688143,0.311857
417,0.400025,0.599975
418,0.511685,0.488315
419,0.783745,0.216255
420,0.029401,0.970599
421,0.275155,0.724845
422,0.062096,0.937904
423,0.752331,0.247669
424,0.709577,0.290423
425,0.863744,0.136256
426,0.618352,0.381648
427,0.860149,0.139851
428,0.016782,0.983218
429,0.009077,0.990923
430,0.290156,0.709844
431,0.017670,0.982330
432,0.827485,0.172515
433,0.974356,0.025644
434,0.886375,0.113625
435,0.510496,0.489504
436,0.509942,0.490058
437,0.697331,0.302669
438,0.589643,0.410357
439,0.866330,0.133670
440,0.170423,0.829577
441,0.250804,0.749196
442,0.041656,0.958344
443,0.246758,0.753242
444,0.058378,0.941622
445,0.019645,0.980355
446,0.256399,0.743601
447,0.716169,0.283831
448,0.977696,0.022304
449,0.652345,0.347655
450,0.302303,0.697697
451,0.864742,0.135258
452,0.857647,0.142353
453,0.232503,0.767497
454,0.223639,0.776361
455,0.261385,0.738615
456,0.960870,0.039130
457,0.137440,0.862560
458,0.058729,0.941271
459,0.570921,0.429079
460,0.628275,0.371725
461,0.181633,0.818367
462,0.023382,0.976618
463,0.277913,0.722087
464,0.376879,0.623121
465,0.348989,0.651011
466,0.018191,0.981809
467,0.793116,0.206884
468,0.124859,0.875141
469,0.013730,0.986270
470,0.077159,0.922841
471,0.649666,0.350334
472,0.593033,0.406967
473,0.736035,0.263965
474,0.827898,0.172102
475,0.677488,0.322512
476,0.987604,0.012396
477,0.617722,0.382278
478,0.556198,0.443802
479,0.730791,0.269209
480,0.078819,0.921181
481,0.384019,0.615981
482,0.981577,0.018423
483,0.714389,0.285611
484,0.385381,0.614619
485,0.826549,0.173451
486,0.506882,0.493118
487,0.926836,0.073164
488,0.384165,0.615835
489,0.597239,0.402761
490,0.644412,0.355588
491,0.224515,0.775485
492,0.490476,0.509524
493,0.357851,0.642149
494,0.166094,0.833906
495,0.247791,0.752209
496,0.264709,0.735291
497,0.804899,0.195101
498,0.154463,0.845537
499,0.426287,0.573713
500,0.591187,0.408813
501,0.805133,0.194867
502,0.297851,0.702149
503,0.082485,0.917515
504,0.998985,0.001015
505,0.169076,0.830924
506,0.468770,0.531230
507,0.867691,0.132309
508,0.416371,0.583629
509,0.478409,0.521591
510,0.867596,0.132404
511,0.304822,0.695178
512,0.094041,0.905959
513,0.345095,0.654905
514,0.612730,0.387270
515,0.618145,0.381855
516,0.934845,0.065155
517,0.139943,0.860057
518,0.251941,0.748059
519,0.329517,0.670483
520,0.746693,0.253307
521,0.723664,0.276336
522,0.574958,0.425042
523,0.668334,0.331666
524,0.208152,0.791848
525,0.340782,0.659218
526,0.866271,0.133729
527,0.264118,0.735882
528,0.440765,0.559235
529,0.792357,0.207643
530,0.216366,0.783634
531,0.235534,0.764466
532,0.366905,0.633095
533,0.074620,0.925380
534,0.775384,0.224616
535,0.834294,0.165706
536,0.627798,0.372202
537,0.403617,0.596383
538,0.982015,0.017985
539,0.227388,0.772612
540,0.032788,0.967212
541,0.314821,0.685179
542,0.767567,0.232433
543,0.136586,0.863414
544,0.754478,0.245522
545,0.824225,0.175775
546,0.028792,0.971208
547,0.671815,0.328185
548,0.305083,0.694917
549,0.071468,0.928532
550,0.935998,0.064002
551,0.178787,0.821213
552,0.813884,0.186116
553,0.706663,0.293337
554,0.347887,0.652113
555,0.124629,0.875371
556,0.378334,0.621666
557,0.654741,0.345259
558,0.760980,0.239020
559,0.547797,0.452203
560,0.061866,0.938134
561,0.809108,0.190892
562,0.713313,0.286687
563,0.267102,0.732898
564,0.981556,0.018444
565,0.510741,0.489259
566,0.495616,0.504384
567,0.535935,0.464065
568,0.944360,0.055640
569,0.351028,0.648972
570,0.674295,0.325705
571,0.977254,0.022746
572,0.040386,0.959614
573,0.226305,0.773695
574,0.083748,0.916252
575,0.215982,0.784018
576,0.049788,0.950212
577,0.088656,0.911344
578,0.714576,0.285424
579,0.988822,0.011178
580,0.838059,0.161941
581,0.474666,0.525334
582,0.395356,0.604644
583,0.850858,0.149142
584,0.066414,0.933586
585,0.769893,0.230107
586,0.848841,0.151159
587,0.469787,0.530213
588,0.721447,0.278553
589,0.435348,0.564652
590,0.873649,0.126351
591,0.343138,0.656862
592,0.022826,0.977174
593,0.351856,0.648144
594,0.351769,0.648231
595,0.606529,0.393471
596,0.861135,0.138865
597,0.427021,0.572979
598,0.863172,0.136828
599,0.918605,0.081395
600,0.989344,0.010656
601,0.383398,0.616602
602,0.355001,0.644999
603,0.307537,0.692463
604,0.800013,0.199987
605,0.131973,0.868027
606,0.739625,0.260375
607,0.917685,0.082315
608,0.358767,0.641233
609,0.554077,0.445923
610,0.353122,0.646878
611,0.003126,0.996874
612,0.668011,0.331989
613,0.602163,0.397837
614,0.136172,0.863828
615,0.727890,0.272110
616,0.651359,0.348641
617,0.394110,0.605890
618,0.257844,0.742156
619,0.402463,0.597537
620,0.207925,0.792075
621,0.320712,0.679288
622,0.200256,0.799744
623,0.760353,0.239647
624,0.657231,0.342769
625,0.723322,0.276678
626,0.969680,0.030320
627,0.918649,0.081351
628,0.349691,0.650309
629,0.155052,0.844948
630,0.335152,0.664848
631,0.428909,0.571091
632,0.742260,0.257740
633,0.709880,0.290120
634,0.342277,0.657723
635,0.934383,0.065617
636,0.574127,0.425873
637,0.055096,0.944904
638,0.373952,0.626048
639,0.248547,0.751453
640,0.860806,0.139194
641,0.913434,0.086566
642,0.435935,0.564065
643,0.049623,0.950377
644,0.960471,0.039529
645,0.008376,0.991624
646,0.845569,0.154431
647,0.422849,0.577151
648,0.497015,0.502985
649,0.387778,0.612222
650,0.392035,0.607965
651,0.520277,0.479723
652,0.138427,0.861573
653,0.723788,0.276212
654,0.657719,0.342281
655,0.212035,0.787965
656,0.297263,0.702737
657,0.310772,0.689228
658,0.909430,0.090570
659,0.981045,0.018955
660,0.188919,0.811081
661,0.377433,0.622567
662,0.354097,0.645903
663,0.883538,0.116462
664,0.004411,0.995589
665,0.918527,0.081473
666,0.058310,0.941690
667,0.474516,0.525484
668,0.488560,0.511440
669,0.012494,0.987506
670,0.507611,0.492389
671,0.120670,0.879330
672,0.408399,0.591601
673,0.268395,0.731605
674,0.630037,0.369963
675,0.233716,0.766284
676,0.575586,0.424414
677,0.706803,0.293197
678,0.090116,0.909884
679,0.848748,0.151252
680,0.773055,0.226945
681,0.358031,0.641969
682,0.288335,0.711665
683,0.780236,0.219764
684,0.301848,0.698152
685,0.265699,0.734301
686,0.438494,0.561506
687,0.244865,0.755135
688,0.411759,0.588241
689,0.239814,0.760186
690,0.204286,0.795714
691,0.329160,0.670840
692,0.968657,0.031343
693,0.097942,0.902058
694,0.802187,0.197813
695,0.841696,0.158304
696,0.223996,0.776004
697,0.744815,0.255185
698,0.700776,0.299224
699,0.682661,0.317339
700,0.472550,0.527450
701,0.807616,0.192384
702,0.767073,0.232927
703,0.555208,0.444792
704,0.704324,0.295676
705,0.292610,0.707390
706,0.517834,0.482166
707,0.058417,0.941583
708,0.062103,0.937897
709,0.898293,0.101707
710,0.078596,0.921404
711,0.697104,0.302896
712,0.832754,0.167246
713,0.776875,0.223125
714,0.991700,0.008300
715,0.951343,0.048657
716,0.295270,0.704730
717,0.016318,0.983682
718,0.422614,0.577386
719,0.723180,0.276820
720,0.416248,0.583752
721,0.976755,0.023245
722,0.574577,0.425423
723,0.142479,0.857521
724,0.632314,0.367686
725,0.117952,0.882048
726,0.759976,0.240024
727,0.515865,0.484135
728,0.590198,0.409802
729,0.840289,0.159711
730,0.936188,0.063812
731,0.276084,0.723916
732,0.163679,0.836321
733,0.631176,0.368824
734,0.987486,0.012514
735,0.544855,0.455145
736,0.795307,0.204693
737,0.986069,0.013931
738,0.427363,0.572637
739,0.553484,0.446516
740,0.712849,0.287151
741,0.794334,0.205666
742,0.675663,0.324337
743,0.840488,0.159512
744,0.954065,0.045935
745,0.291573,0.708427
746,0.486508,0.513492
747,0.293392,0.706608
748,0.723630,0.276370
749,0.992003,0.007997
750,0.847213,0.152787
751,0.738182,0.261818
752,0.970935,0.029065
753,0.467225,0.532775
754,0.592949,0.407051
755,0.975236,0.024764
756,0.743994,0.256006
757,0.072588,0.927412
758,0.029655,0.970345
759,0.506906,0.493094
760,0.711980,0.288020
761,0.580856,0.419144
762,0.548347,0.451653
763,0.116223,0.883777
764,0.880545,0.119455
765,0.540064,0.459936
766,0.044005,0.955995
767,0.712735,0.287265
768,0.036740,0.963260
769,0.041797,0.958203
770,0.469341,0.530659
771,0.822503,0.177497
772,0.658798,0.341202
773,0.556059,0.443941
774,0.890662,0.109338
775,0.169956,0.830044
776,0.479560,0.520440
777,0.955830,0.044170
778,0.971141,0.028859
779,0.312850,0.687150
780,0.629649,0.370351
781,0.127582,0.872418
782,0.068501,0.931499
783,0.645549,0.354451
784,0.620094,0.379906
785,0.726445,0.273555
786,0.604713,0.395287
787,0.035980,0.964020
788,0.018528,0.981472
789,0.249454,0.750546
790,0.197796,0.802204
791,0.822801,0.177199
792,0.952130,0.047870
793,0.824892,0.175108
794,0.020053,0.979947
795,0.473994,0.526006
796,0.155621,0.844379
797,0.022745,0.977255
798,0.489198,0.510802
799,0.330800,0.669200
800,0.422235,0.577765
801,0.856294,0.143706
802,0.695400,0.304600
803,0.172848,0.827152
804,0.690609,0.309391
805,0.447599,0.552401
806,0.419360,0.580640
807,0.207577,0.792423
808,0.906321,0.093679
809,0.531435,0.468565
810,0.046175,0.953825
811,0.588093,0.411907
812,0.610665,0.389335
813,0.419552,0.580448
814,0.757470,0.242530
815,0.035622,0.964378
816,0.669619,0.330381
817,0.316215,0.683785
818,0.696133,0.303867
819,0.606216,0.393784
820,0.430436,0.569564
821,0.267108,0.732892
822,0.178633,0.821367
823,0.226540,0.773460
824,0.975276,0.024724
825,0.326070,0.673930
826,0.000689,0.999311
827,0.684021,0.315979
828,0.882686,0.117314
829,0.113546,0.886454
830,0.029030,0.970970
831,0.127832,0.872168
832,0.402605,0.597395
833,0.936934,0.063066
834,0.025304,0.974696
835,0.080859,0.919141
836,0.737583,0.262417
837,0.502398,0.497602
838,0.083811,0.916189
839,0.821537,0.178463
840,0.393179,0.606821
841,0.872834,0.127166
842,0.316294,0.683706
843,0.507606,0.492394
844,0.855486,0.144514
845,0.258869,0.741131
846,0.396140,0.603860
847,0.695098,0.304902
848,0.176302,0.823698
849,0.519806,0.480194
850,0.633030,0.366970
851,0.144684,0.855316
852,0.423562,0.576438
853,0.877912,0.122088
854,0.513793,0.486207
855,0.694786,0.305214
856,0.738940,0.261060
857,0.421291,0.578709
858,0.653840,0.346160
859,0.913026,0.086974
860,0.293643,0.706357
861,0.923078,0.076922
862,0.696553,0.303447
863,0.203328,0.796672
864,0.791231,0.208769
865,0.013599,0.986401
866,0.225516,0.774484
867,0.151958,0.848042
868,0.563504,0.436496
869,0.412135,0.587865
870,0.849202,0.150798
871,0.390089,0.609911
872,0.409342,0.590658
873,0.782624,0.217376
874,0.241291,0.758709
875,0.756681,0.243319
876,0.726775,0.273225
877,0.604303,0.395697
878,0.413713,0.586287
879,0.890121,0.109879
880,0.800209,0.199791
881,0.311062,0.688938
882,0.289416,0.710584
883,0.079208,0.920792
884,0.697594,0.302406
885,0.465589,0.534411
886,0.872214,0.127786
887,0.167496,0.832504
888,0.480130,0.519870
889,0.115043,0.884957
890,0.256858,0.743142
891,0.631959,0.368041
892,0.158670,0.841330
893,0.430028,0.569972
894,0.836622,0.163378
895,0.137165,0.862835
896,0.119284,0.880716
897,0.078478,0.921522
898,0.356178,0.643822
899,0.083816,0.916184
900,0.099494,0.900506
901,0.587665,0.412335
902,0.239265,0.760735
903,0.156611,0.843389
904,0.931887,0.068113
905,0.069130,0.930870
906,0.886198,0.113802
907,0.473764,0.526236
908,0.196727,0.803273
909,0.460171,0.539829
910,0.085343,0.914657
911,0.469977,0.530023
912,0.455194,0.544806
913,0.865078,0.134922
914,0.741803,0.258197
915,0.289503,0.710497
916,0.385650,0.614350
917,0.752372,0.247628
918,0.625966,0.374034
919,0.401690,0.598310
920,0.365965,0.634035
921,0.507342,0.492658
922,0.822912,0.177088
923,0.452734,0.547266
924,0.395666,0.604334
925,0.065092,0.934908
926,0.195305,0.804695
927,0.630864,0.369136
928,0.998152,0.001848
929,0.217044,0.782956
930,0.166986,0.833014
931,0.442176,0.557824
932,0.675793,0.324207
933,0.510750,0.489250
934,0.883683,0.116317
935,0.456532,0.543468
936,0.393460,0.606540
937,0.627196,0.372804
938,0.762769,0.237231
939,0.807443,0.192557
940,0.730887,0.269113
941,0.034973,0.965027
942,0.878539,0.121461
943,0.868909,0.131091
944,0.211515,0.788485
945,0.075286,0.924714
946,0.510709,0.489291
947,0.789360,0.210640
948,0.538760,0.461240
949,0.293990,0.706010
950,0.541509,0.458491
951,0.143934,0.856066
952,0.623166,0.376834
953,0.271783,0.728217
954,0.246479,0.753521
955,0.873374,0.126626
956,0.521719,0.478281
957,0.605291,0.394709
958,0.432290,0.567710
959,0.560462,0.439538
960,0.287005,0.712995
961,0.216260,0.783740
962,0.228374,0.771626
963,0.885113,0.114887
964,0.569115,0.430885
965,0.752216,0.247784
966,0.104145,0.895855
967,0.544472,0.455528
968,0.634653,0.365347
969,0.900906,0.099094
970,0.910701,0.089299
971,0.030792,0.969208
972,0.151259,0.848741
973,0.005352,0.994648
974,0.959710,0.040290
975,0.171657,0.828343
976,0.497220,0.502780
977,0.687341,0.312659
978,0.617694,0.382306
979,0.234065,0.765935
980,0.861499,0.138501
981,0.909938,0.090062
982,0.683660,0.316340
983,0.969059,0.030941
984,0.927846,0.072154
985,0.914992,0.085008
986,0.735814,0.264186
987,0.171719,0.828281
988,0.642032,0.357968
989,0.274507,0.725493
990,0.773545,0.226455
991,0.302725,0.697275
992,0.455511,0.544489
993,0.945251,0.054749
994,0.997183,0.002817
995,0.839066,0.160934
996,0.722519,0.277481
997,0.426257,0.573743
998,0.821125,0.178875
999,0.581652,0.418348
1000,0.187836,0.812164
1001,0.124678,0.875322
1002,0.142409,0.857591
1003,0.163956,0.836044
1004,0.336624,0.663376
1005,0.083527,0.916473
1006,0.274517,0.725483
1007,0.367316,0.632684
1008,0.644023,0.355977
1009,0.293060,0.706940
1010,0.496911,0.503089
1011,0.549977,0.450023
1012,0.474958,0.525042
1013,0.445495,0.554505
1014,0.199179,0.800821
1015,0.957395,0.042605
1016,0.706516,0.293484
1017,0.067606,0.932394
1018,0.684345,0.315655
1019,0.476649,0.523351
1020,0.372670,0.627330
1021,0.463890,0.536110
1022,0.001683,0.998317
1023,0.259522,0.740478
1024,0.032910,0.967090
1025,0.156256,0.843744
1026,0.126305,0.873695
1027,0.037396,0.962604
1028,0.277600,0.722400
1029,0.179892,0.820108
1030,0.607198,0.392802
1031,0.863553,0.136447
1032,0.340130,0.659870
1033,0.449808,0.550192
1034,0.807719,0.192281
1035,0.077876,0.922124
1036,0.103507,0.896493
1037,0.936126,0.063874
1038,0.402252,0.597748
1039,0.862046,0.137954
1040,0.964874,0.035126
1041,0.893745,0.106255
1042,0.421693,0.578307
1043,0.535211,0.464789
1044,0.231163,0.768837
1045,0.045914,0.954086
1046,0.637379,0.362621
1047,0.141437,0.858563
1048,0.048626,0.951374
1049,0.121472,0.878528
1050,0.591446,0.408554
1051,0.608407,0.391593
1052,0.898819,0.101181
1053,0.445393,0.554607
1054,0.892136,0.107864
1055,0.556788,0.443212
1056,0.630183,0.369817
1057,0.836264,0.163736
1058,0.648912,0.351088
1059,0.472792,0.527208
1060,0.044539,0.955461
1061,0.479578,0.520422
1062,0.782816,0.217184
1063,0.337289,0.662711
1064,0.372634,0.627366
1065,0.978660,0.021340
1066,0.531604,0.468396
1067,0.055143,0.944857
1068,0.229837,0.770163
1069,0.471279,0.528721
1070,0.202358,0.797642
1071,0.313097,0.686903
1072,0.342563,0.657437
1073,0.161534,0.838466
1074,0.703901,0.296099
1075,0.871104,0.128896
1076,0.705079,0.294921
1077,0.278762,0.721238
1078,0.857401,0.142599
1079,0.162436,0.837564
1080,0.492933,0.507067
1081,0.960169,0.039831
1082,0.377686,0.622314
1083,0.765817,0.234183
1084,0.149853,0.850147
1085,0.937532,0.062468
1086,0.517217,0.482783
1087,0.139174,0.860826
1088,0.266944,0.733056
1089,0.904691,0.095309
1090,0.012298,0.987702
1091,0.938325,0.061675
1092,0.855162,0.144838
1093,0.966537,0.033463
1094,0.159676,0.840324
1095,0.432953,0.567047
1096,0.556987,0.443013
1097,0.894844,0.105156
1098,0.823317,0.176683
1099,0.085473,0.914527
1100,0.173671,0.826329
1101,0.748119,0.251881
1102,0.416793,0.583207
1103,0.447693,0.552307
1104,0.735405,0.264595
1105,0.218013,0.781987
1106,0.629889,0.370111
1107,0.721820,0.278180
1108,0.854618,0.145382
1109,0.378658,0.621342
1110,0.667992,0.332008
1111,0.060421,0.939579
1112,0.525865,0.474135
1113,0.099107,0.900893
1114,0.395622,0.604378
1115,0.137335,0.862665
1116,0.853863,0.146137
1117,0.311249,0.688751
1118,0.124186,0.875814
1119,0.143688,0.856312
1120,0.673596,0.326404
1121,0.404546,0.595454
1122,0.221083,0.778917
1123,0.530530,0.469470
1124,0.146827,0.853173
1125,0.210408,0.789592
1126,0.773925,0.226075
1127,0.240344,0.759656
1128,0.407122,0.592878
1129,0.285570,0.714430
1130,0.390341,0.609659
1131,0.178868,0.821132
1132,0.374799,0.625201
1133,0.411229,0.588771
1134,0.405108,0.594892
1135,0.471808,0.528192
1136,0.568575,0.431425
1137,0.233454,0.766546
1138,0.500652,0.499348
1139,0.165606,0.834394
1140,0.806695,0.193305
1141,0.567648,0.432352
1142,0.134382,0.865618
1143,0.166499,0.833501
1144,0.740122,0.259878
1145,0.336714,0.663286
1146,0.440953,0.559047
1147,0.895745,0.104255
1148,0.476843,0.523157
1149,0.755874,0.244126
